基金代码,基金名称,截止日期,单位净值,日增长率,近1周,近1月,近3月,近6月,近1年,近2年,近3年,今年来,成立来,起购金额,原手续费,现手续费,成立日期,基金经理,类型,管理人,资产规模
d000729,建信中小盘先锋股票A,2021-11-24,4.1520,-0.05,0.83,11.46,15.75,55.27,76.91,216.95,272.04,64.37,315.20,10元,1.50%,0.15%,2014-08-20,周智硕,股票型,建信基金,9.47亿元（截止至：2021-09-30）
d009067,国泰中证新能源汽车ETF联接A,2021-11-24,3.0274,-1.50,2.52,2.76,3.77,47.12,76.91,,,53.04,202.74,1,0.10,0,2020-04-03,谢东旭,指数型-股票,国泰基金,4.05亿元（截止至：2021-09-30）
d007164,浦银安盛环保新能源C,2021-11-24,2.8859,-2.02,1.33,6.88,7.11,54.98,76.39,187.73,,50.79,188.59,10元,,0.00%,2019-07-09,杨达伟,混合型-偏股,浦银安盛基金,0.53亿元（截止至：2021-09-30）
d009068,国泰中证新能源汽车ETF联接C,2021-11-24,3.0130,-1.50,2.51,2.73,3.70,46.90,76.37,,,52.62,201.30,1,0.00,0,2020-04-03,谢东旭,指数型-股票,国泰基金,5.18亿元（截止至：2021-09-30）
d003853,金鹰信息产业股票A,2021-11-24,4.6531,-0.32,3.59,7.45,3.45,49.54,76.32,249.67,402.29,51.22,416.84,10元,1.20%,0.12%,2017-03-10,樊勇,股票型,金鹰基金,16.89亿元（截止至：2021-09-30）
d006250,上投摩根动力精选混合A,2021-11-24,3.8264,-1.92,1.67,2.44,0.12,51.81,76.27,249.47,,50.17,282.64,10元,1.50%,0.15%,2019-01-29,郭晨,混合型-偏股,上投摩根基金,17.19亿元（截止至：2021-09-30）
d006234,万家汽车新趋势混合C,2021-11-24,3.1147,-0.09,5.11,8.62,-0.34,47.31,76.23,216.86,,57.22,211.47,10元,,0.00%,2019-10-23,李文宾,混合型-偏股,万家基金,0.93亿元（截止至：2021-09-30）
d000496,长安产业精选混合A,2021-11-24,2.3369,-2.47,2.07,-0.63,0.27,46.63,76.20,82.88,125.68,53.43,191.62,1,0.15,0,2014-05-07,林忠晶,混合型-灵活,长安基金,0.69亿元（截止至：2021-09-30）
d005885,金鹰信息产业股票C,2021-11-24,4.6399,-0.32,3.59,7.41,3.35,49.24,75.61,246.89,396.85,50.67,391.50,10元,,0.00%,2018-04-18,樊勇,股票型,金鹰基金,7.83亿元（截止至：2021-09-30）
d001675,江信同福A,2021-11-24,1.9752,-1.88,1.14,14.28,3.70,54.40,75.60,94.52,150.44,56.01,105.13,10元,0.50%,0.05%,2015-08-28,王安良,混合型-灵活,江信基金,0.49亿元（截止至：2021-09-30）
d006348,银华盛利混合发起式,2021-11-24,3.9284,-1.33,0.34,4.82,4.35,49.50,75.60,199.97,,57.00,292.84,1,0.15,0,2018-12-13,向伊达,混合型-偏股,银华基金,3.30亿元（截止至：2021-09-30）
d002071,长安产业精选混合C,2021-11-24,2.2777,-2.47,2.07,-0.67,0.14,46.28,75.34,81.13,121.65,52.75,130.36,1,0.00,0,2015-11-16,林忠晶,混合型-灵活,长安基金,1.22亿元（截止至：2021-09-30）
d001676,江信同福C,2021-11-24,1.9159,-1.88,1.12,14.23,3.57,54.02,74.73,92.46,146.96,55.30,98.01,10元,,0.00%,2015-08-28,王安良,混合型-灵活,江信基金,0.35亿元（截止至：2021-09-30）
d002256,金信行业优选混合发起式,2021-11-24,2.8200,0.04,7.10,17.35,12.08,53.43,74.50,176.20,319.64,54.69,182.00,1,0.15,0,2016-04-01,孔学兵,混合型-灵活,金信基金,1.14亿元（截止至：2021-09-30）
d580006,东吴新经济混合A,2021-11-24,2.1143,-1.23,3.35,5.61,2.27,42.94,74.32,134.14,189.23,51.30,192.99,10元,1.50%,0.15%,2009-12-30,徐嶒,混合型-偏股,东吴基金,1.28亿元（截止至：2021-09-30）
d160634,鹏华中证环保产业指数(LOF),2021-11-24,1.8210,-1.89,1.00,2.48,8.07,50.87,74.09,161.47,181.96,55.38,38.75,1,0.12,0,2015-06-16,闫冬,指数型-股票,鹏华基金,3.89亿元（截止至：2021-09-30）
d005352,鹏扬景泰成长混合A,2021-11-24,3.0970,-0.79,5.18,5.92,8.53,48.59,73.51,199.02,277.31,50.85,209.70,1,0.12,0,2017-12-20,邓彬彬,混合型-偏股,鹏扬基金,5.24亿元（截止至：2021-09-30）
